Weapon Type,Weapon ID,Purchase Timestamp,Usage Hours,Performance Metrics,Maintenance Logs,Number of Failures,Parts with Issues,Area,Battalion,Temperature,Weather Conditions
Type E,G-724,2015-03-30,9336,62.45,44,4,None,Rural,North-East Battalion,27,Rainy
Type D,G-950,2015-06-21,5819,65.0,22,4,Sensors,Rural,East Battalion,35,Cloudy
Type E,G-820,2022-09-04,4244,62.59,47,5,None,Urban,East Battalion,30,Rainy
Type C,G-729,2015-09-21,324,67.81,9,2,Brakes,Rural,North Battalion,29,Cool
Type D,G-920,2024-11-25,1565,60.06,14,8,None,Urban,North Battalion,37,Sunny
Type C,G-217,2019-08-21,3744,85.19,17,6,None,Urban,East Battalion,32,Rainy
Type D,G-847,2022-06-20,2913,62.57,3,7,Armor Plating,Urban,North Battalion,37,Sunny
Type A,G-824,2021-11-16,8020,63.21,46,6,None,Rural,North Battalion,29,Cool
Type E,G-579,2019-12-24,817,64.15,16,4,None,Rural,North-East Battalion,27,Rainy
Type B,G-246,2017-02-23,4255,86.35,46,3,None,Urban,East Battalion,29,Rainy
Type C,G-716,2024-05-25,2183,79.67,29,6,Brakes,Semi-Urban,West Battalion,32,Humid
Type D,G-388,2015-03-04,6397,70.8,36,7,None,Urban,East Battalion,28,Rainy
Type A,G-985,2019-08-24,4877,83.01,1,1,None,Urban,North Battalion,37,Sunny
Type C,G-621,2019-06-20,7540,97.17,13,3,None,Urban,North Battalion,35,Sunny
Type A,G-869,2024-02-08,7863,83.84,20,4,None,Rural,South Battalion,29,Humid
Type E,G-681,2019-11-15,6184,73.69,41,3,Engine,Rural,North-East Battalion,25,Rainy
Type D,G-979,2024-02-07,1694,60.08,24,3,None,Urban,East Battalion,31,Rainy
Type C,G-574,2019-04-26,8557,86.03,2,2,None,Urban,West Battalion,36,Hot
Type D,G-785,2022-04-09,4755,85.82,40,2,None,Urban,West Battalion,36,Hot
Type A,G-903,2016-11-28,1377,90.94,19,2,None,Rural,North Battalion,26,Cool
Type E,G-934,2018-11-27,9658,96.76,31,2,None,Semi-Urban,West Battalion,38,Dry
Type C,G-322,2024-06-02,9502,95.8,40,7,Sensors,Semi-Urban,West Battalion,36,Dry
Type E,G-100,2019-06-21,7500,78.24,23,2,Armor Plating,Urban,North Battalion,34,Sunny
Type A,G-799,2018-07-02,1321,64.56,41,6,None,Semi-Urban,West Battalion,37,Dry
Type E,G-331,2017-01-24,5638,74.26,1,2,None,Rural,South Battalion,33,Humid
Type B,G-624,2022-12-11,2330,86.25,20,2,Gun System,Semi-Urban,West Battalion,33,Humid
Type A,G-538,2025-01-07,2470,99.86,38,8,None,Urban,North Battalion,36,Sunny
Type A,G-128,2016-04-27,2074,72.4,16,6,Sensors,Urban,East Battalion,28,Rainy
Type C,G-707,2015-04-07,3647,65.41,29,2,Wiring,Urban,North Battalion,35,Sunny
Type D,G-599,2021-05-26,5651,93.84,17,2,Gun System,Semi-Urban,West Battalion,38,Dry
Type C,G-391,2019-08-19,2351,64.44,27,9,None,Urban,East Battalion,32,Rainy
Type A,G-977,2022-10-22,7013,88.64,50,3,Radar,Rural,East Battalion,32,Cloudy
Type C,G-979,2016-12-09,9375,81.54,44,5,None,Rural,South Battalion,29,Humid
Type C,G-623,2024-07-06,6507,62.41,44,2,Navigation System,Urban,South Battalion,36,Hot
Type A,G-310,2022-07-12,5999,87.91,14,7,None,Urban,East Battalion,32,Rainy
Type C,G-968,2015-06-10,3533,82.38,42,7,Engine,Semi-Urban,West Battalion,32,Humid
Type D,G-281,2023-01-02,4419,70.78,7,7,Radar,Semi-Urban,West Battalion,36,Dry
Type B,G-753,2020-09-04,6567,92.79,32,0,None,Semi-Urban,West Battalion,33,Humid
Type C,G-973,2016-06-22,4869,60.76,17,1,None,Semi-Urban,West Battalion,36,Dry
Type A,G-247,2018-12-21,8773,63.58,47,2,None,Rural,South Battalion,30,Humid
Type C,G-928,2018-09-14,4914,92.33,34,1,None,Urban,South Battalion,34,Hot
Type A,G-413,2019-04-01,4609,92.25,45,7,Navigation System,Urban,East Battalion,29,Rainy
Type C,G-433,2021-12-30,6919,67.34,38,5,None,Urban,South Battalion,33,Hot
Type E,G-602,2016-08-07,4792,63.84,41,1,None,Rural,North Battalion,28,Cool
Type A,G-316,2022-01-12,3437,63.57,5,2,None,Semi-Urban,West Battalion,38,Dry
Type C,G-974,2020-10-18,6028,83.42,36,4,None,Urban,South Battalion,34,Hot
Type A,G-303,2018-03-09,5102,66.65,13,5,Engine,Urban,West Battalion,38,Hot
Type E,G-448,2020-12-06,1149,68.18,16,6,None,Semi-Urban,West Battalion,38,Dry
Type E,G-482,2019-06-01,9874,77.73,13,3,None,Rural,South Battalion,30,Humid
Type A,G-168,2024-09-26,4225,80.9,24,4,Armor Plating,Rural,North-East Battalion,28,Rainy
Type A,G-680,2018-08-24,9364,97.78,9,6,Radar,Rural,South Battalion,30,Humid
Type A,G-909,2023-04-19,9476,92.6,32,0,Transmission,Semi-Urban,West Battalion,36,Dry
Type D,G-978,2023-12-20,5691,99.88,45,0,Gun System,Urban,East Battalion,29,Rainy
Type C,G-804,2018-11-28,7812,94.16,22,3,Brakes,Semi-Urban,West Battalion,32,Humid
Type E,G-524,2024-01-18,3259,91.64,28,9,None,Semi-Urban,West Battalion,30,Humid
Type B,G-558,2019-07-24,330,61.62,2,6,Brakes,Urban,West Battalion,37,Hot
Type D,G-777,2025-02-11,506,90.92,17,3,None,Rural,North-East Battalion,27,Rainy
Type A,G-890,2020-03-08,2706,60.73,41,2,Gun System,Urban,North Battalion,37,Sunny
Type A,G-857,2023-03-19,4074,68.25,50,2,None,Urban,West Battalion,37,Hot
Type C,G-727,2021-08-25,3886,94.15,43,2,None,Urban,East Battalion,28,Rainy
Type E,G-581,2019-12-03,1422,65.19,34,3,Radar,Semi-Urban,West Battalion,31,Humid
Type C,G-470,2018-06-14,6420,84.1,40,2,None,Rural,North-East Battalion,25,Rainy
Type A,G-623,2021-01-10,8845,79.52,3,5,None,Semi-Urban,West Battalion,31,Humid
Type D,G-817,2018-11-14,7981,83.81,6,2,None,Rural,East Battalion,34,Cloudy
Type E,G-424,2015-05-12,4604,89.48,43,1,None,Rural,North-East Battalion,29,Rainy
Type E,G-123,2022-12-17,7465,92.42,27,9,None,Rural,South Battalion,31,Humid
Type D,G-194,2024-04-26,989,76.75,47,8,Transmission,Urban,East Battalion,30,Rainy
Type C,G-701,2020-01-11,4649,73.67,10,8,None,Semi-Urban,West Battalion,32,Humid
Type B,G-893,2016-10-11,890,92.31,22,5,Radar,Rural,North-East Battalion,26,Rainy
Type B,G-129,2017-06-06,3692,99.96,17,3,Wiring,Rural,East Battalion,35,Cloudy
Type C,G-161,2019-07-26,1683,86.8,44,5,None,Semi-Urban,West Battalion,32,Humid
Type B,G-399,2021-07-18,7856,81.7,1,4,Transmission,Rural,East Battalion,33,Cloudy
Type A,G-655,2019-08-30,220,78.15,37,6,None,Semi-Urban,West Battalion,33,Humid
Type B,G-585,2022-04-16,4640,66.69,31,3,None,Urban,West Battalion,35,Hot
Type E,G-551,2020-02-06,6307,84.01,20,0,None,Urban,West Battalion,38,Hot
Type B,G-782,2015-11-30,799,67.78,28,4,None,Rural,North Battalion,28,Cool
Type A,G-777,2021-07-30,4690,88.05,22,8,None,Urban,West Battalion,36,Hot
Type D,G-627,2022-05-12,133,97.42,10,3,Radar,Rural,East Battalion,33,Cloudy
Type E,G-858,2015-07-06,2786,65.9,33,0,Navigation System,Urban,South Battalion,36,Hot
Type D,G-761,2018-06-14,5353,92.78,25,0,Engine,Rural,North-East Battalion,26,Rainy
Type C,G-250,2023-10-07,5267,69.92,50,5,Brakes,Rural,North-East Battalion,28,Rainy
Type B,G-112,2019-10-13,6807,96.77,17,4,None,Urban,East Battalion,28,Rainy
Type B,G-467,2015-03-05,572,79.77,11,7,Brakes,Urban,South Battalion,36,Hot
Type C,G-177,2022-02-22,9918,61.72,33,2,Wiring,Rural,North Battalion,26,Cool
Type D,G-853,2022-02-07,2032,75.22,7,5,Radar,Rural,South Battalion,33,Humid
Type A,G-172,2019-08-07,8578,82.83,14,8,None,Rural,South Battalion,29,Humid
Type D,G-606,2015-05-27,500,90.43,47,3,None,Urban,West Battalion,38,Hot
Type E,G-862,2019-10-27,1016,60.91,43,0,Engine,Rural,North-East Battalion,29,Rainy
Type B,G-187,2024-02-16,9547,83.45,16,2,Wiring,Rural,North Battalion,26,Cool
Type B,G-675,2023-10-20,2409,98.35,25,3,Radar,Semi-Urban,West Battalion,38,Dry
Type C,G-651,2022-12-19,8009,64.08,28,6,Sensors,Semi-Urban,West Battalion,37,Dry
Type D,G-173,2023-10-23,3768,69.02,37,3,None,Semi-Urban,West Battalion,32,Humid
Type E,G-752,2022-12-25,8859,84.79,24,9,None,Semi-Urban,West Battalion,36,Dry
Type A,G-805,2022-10-04,9652,72.1,29,2,Gun System,Semi-Urban,West Battalion,39,Dry
Type B,G-867,2023-04-25,6204,82.12,45,3,Armor Plating,Rural,North-East Battalion,29,Rainy
Type D,G-970,2016-11-12,5746,79.0,7,7,None,Semi-Urban,West Battalion,30,Humid
Type C,G-208,2021-01-08,3079,95.14,10,2,Sensors,Urban,North Battalion,36,Sunny
Type E,G-216,2020-07-24,9103,75.76,49,4,Navigation System,Urban,East Battalion,31,Rainy
Type B,G-750,2015-04-04,6732,82.13,20,7,Armor Plating,Urban,East Battalion,28,Rainy
Type E,G-544,2020-04-18,945,73.66,31,3,Transmission,Urban,North Battalion,33,Sunny
Type B,G-394,2015-07-22,2475,64.71,48,9,None,Urban,South Battalion,36,Hot
Type E,G-747,2016-09-24,7307,74.41,27,0,None,Rural,South Battalion,29,Humid
Type E,G-429,2019-04-22,9570,97.1,11,2,None,Rural,East Battalion,32,Cloudy
Type B,G-474,2015-09-05,4289,77.12,36,1,None,Semi-Urban,West Battalion,39,Dry
Type B,G-784,2025-02-04,2346,75.77,27,5,None,Urban,South Battalion,35,Hot
Type E,G-356,2016-08-11,1306,92.54,5,0,None,Semi-Urban,West Battalion,33,Humid
Type B,G-258,2022-03-28,8286,81.43,2,9,None,Rural,North-East Battalion,28,Rainy
Type B,G-299,2019-08-22,5197,68.44,0,8,Brakes,Urban,East Battalion,31,Rainy
Type E,G-353,2021-08-22,9262,66.35,49,5,None,Rural,North Battalion,26,Cool
Type D,G-289,2021-12-14,9346,88.72,17,6,None,Rural,East Battalion,33,Cloudy
Type B,G-144,2022-06-11,5101,62.08,13,7,Transmission,Semi-Urban,West Battalion,33,Humid
Type C,G-399,2022-05-09,8653,67.76,13,1,None,Semi-Urban,West Battalion,30,Humid
Type B,G-711,2018-10-28,4996,85.74,28,2,Brakes,Semi-Urban,West Battalion,36,Dry
Type E,G-128,2016-12-31,3408,81.49,35,5,Brakes,Rural,East Battalion,35,Cloudy
Type C,G-864,2017-05-26,9169,61.75,6,5,Navigation System,Rural,North Battalion,29,Cool
Type D,G-852,2020-03-25,4921,95.64,4,9,None,Urban,East Battalion,29,Rainy
Type E,G-435,2016-11-23,4649,92.92,26,2,Armor Plating,Urban,North Battalion,37,Sunny
Type D,G-645,2018-02-09,679,68.0,32,10,Engine,Rural,East Battalion,35,Cloudy
Type A,G-591,2023-04-08,1302,62.7,36,4,Transmission,Semi-Urban,West Battalion,33,Humid
Type A,G-716,2022-10-31,5341,63.08,10,4,Sensors,Rural,North Battalion,29,Cool
Type C,G-244,2015-03-09,5629,62.93,15,1,Gun System,Urban,West Battalion,35,Hot
Type E,G-485,2023-11-07,1521,86.39,39,9,None,Urban,North Battalion,36,Sunny
Type D,G-232,2016-12-10,9061,66.77,15,4,None,Urban,South Battalion,34,Hot
Type D,G-189,2017-05-16,9405,75.58,19,6,None,Semi-Urban,West Battalion,39,Dry
Type D,G-701,2022-08-10,5064,82.26,6,5,None,Urban,South Battalion,32,Hot
Type B,G-664,2021-02-03,3847,80.37,18,8,Radar,Rural,East Battalion,34,Cloudy
Type B,G-648,2015-06-12,4184,62.9,23,2,Engine,Rural,North Battalion,27,Cool
Type D,G-579,2015-07-06,6942,86.11,11,3,None,Urban,West Battalion,35,Hot
Type E,G-617,2023-03-09,6243,80.19,2,5,Navigation System,Semi-Urban,West Battalion,34,Humid
Type C,G-366,2016-04-30,5799,98.31,21,2,None,Urban,East Battalion,28,Rainy
Type A,G-846,2016-05-24,9155,85.93,30,2,None,Urban,West Battalion,36,Hot
Type A,G-459,2024-02-26,3404,88.24,21,10,Wiring,Urban,South Battalion,36,Hot
Type E,G-846,2017-01-30,7693,88.96,35,7,None,Semi-Urban,West Battalion,33,Humid
Type B,G-259,2016-01-14,7178,88.88,4,2,Transmission,Rural,North Battalion,27,Cool
Type E,G-197,2024-08-24,7225,84.36,18,8,Navigation System,Urban,South Battalion,35,Hot
Type B,G-488,2022-08-06,7139,89.21,36,0,Engine,Rural,North-East Battalion,29,Rainy
Type E,G-144,2023-11-11,7720,64.64,46,2,None,Urban,East Battalion,31,Rainy
Type C,G-136,2015-07-25,8341,79.9,1,3,None,Rural,South Battalion,32,Humid
Type A,G-234,2018-02-23,9636,64.08,0,3,None,Rural,North Battalion,26,Cool
Type A,G-368,2021-04-19,2415,76.64,8,0,Sensors,Urban,North Battalion,36,Sunny
Type B,G-637,2020-11-21,7885,85.33,44,5,None,Urban,East Battalion,28,Rainy
Type B,G-836,2021-04-17,6907,92.33,26,0,None,Rural,East Battalion,34,Cloudy
Type C,G-790,2024-10-14,8449,98.95,30,1,None,Rural,South Battalion,33,Humid
Type D,G-384,2024-10-12,4052,72.34,41,10,Radar,Semi-Urban,West Battalion,40,Dry
Type A,G-534,2024-01-06,2090,72.36,36,3,Engine,Urban,West Battalion,35,Hot
Type C,G-124,2023-12-07,608,97.56,1,7,Radar,Rural,North Battalion,27,Cool
Type D,G-352,2016-08-25,600,73.97,28,0,Brakes,Rural,East Battalion,33,Cloudy
Type A,G-947,2020-09-26,2933,73.18,5,5,None,Rural,South Battalion,30,Humid
Type B,G-531,2024-03-04,1581,64.91,40,2,Engine,Urban,West Battalion,34,Hot
Type B,G-356,2023-10-11,8751,70.97,43,6,None,Urban,North Battalion,34,Sunny
Type D,G-616,2016-03-08,2717,98.88,32,1,Wiring,Urban,South Battalion,35,Hot
Type D,G-534,2017-07-03,3006,90.19,48,10,Brakes,Semi-Urban,West Battalion,33,Humid
Type D,G-153,2018-09-29,9244,73.3,18,7,None,Urban,East Battalion,28,Rainy
Type A,G-419,2019-01-07,5450,80.25,17,1,None,Urban,North Battalion,37,Sunny
Type A,G-465,2015-10-05,5748,88.38,9,1,Armor Plating,Urban,West Battalion,35,Hot
Type B,G-744,2020-09-01,7578,88.42,15,4,None,Rural,South Battalion,31,Humid
Type C,G-102,2018-08-08,392,83.78,27,4,Brakes,Rural,South Battalion,32,Humid
Type C,G-633,2016-08-10,3583,75.13,19,4,None,Rural,North Battalion,27,Cool
Type A,G-172,2019-12-27,8683,77.33,15,3,Transmission,Rural,North Battalion,30,Cool
Type A,G-997,2017-09-28,2692,84.65,9,3,None,Urban,North Battalion,34,Sunny
Type D,G-927,2024-08-27,9324,77.63,33,6,None,Semi-Urban,West Battalion,32,Humid
Type D,G-513,2020-05-23,137,97.64,23,2,None,Semi-Urban,West Battalion,30,Humid
Type C,G-909,2024-04-02,4556,64.82,23,1,Brakes,Rural,South Battalion,29,Humid
Type C,G-169,2023-11-21,3597,86.28,17,4,Armor Plating,Urban,North Battalion,36,Sunny
Type D,G-130,2020-04-07,661,68.68,34,5,None,Urban,South Battalion,35,Hot
Type B,G-581,2015-06-28,1165,96.18,25,4,Gun System,Urban,South Battalion,36,Hot
Type E,G-410,2021-01-25,7807,61.08,32,2,None,Semi-Urban,West Battalion,32,Humid
Type E,G-328,2020-06-14,2188,69.8,4,5,Engine,Semi-Urban,West Battalion,39,Dry
Type A,G-967,2018-12-12,4181,78.25,47,0,None,Semi-Urban,West Battalion,34,Humid
Type D,G-367,2024-04-08,4832,96.25,39,7,None,Rural,North-East Battalion,29,Rainy
Type C,G-806,2018-05-05,1216,87.1,50,1,None,Rural,North-East Battalion,29,Rainy
Type B,G-104,2024-05-10,8807,90.33,34,1,None,Semi-Urban,West Battalion,39,Dry
Type D,G-742,2024-06-09,3612,92.34,34,4,Transmission,Rural,East Battalion,31,Cloudy
Type C,G-363,2021-09-11,9235,94.03,40,3,Engine,Rural,South Battalion,31,Humid
Type D,G-567,2022-02-05,1078,93.95,33,3,Armor Plating,Urban,East Battalion,32,Rainy
Type A,G-882,2016-05-06,7090,72.93,47,3,Sensors,Urban,North Battalion,36,Sunny
Type D,G-325,2023-02-21,7244,92.07,20,6,None,Rural,South Battalion,31,Humid
Type E,G-495,2022-09-28,5287,62.32,12,4,None,Rural,North Battalion,29,Cool
Type D,G-383,2019-07-16,5560,77.61,5,4,Brakes,Semi-Urban,West Battalion,37,Dry
Type C,G-574,2024-06-28,7498,99.62,24,7,None,Rural,East Battalion,33,Cloudy
Type B,G-859,2024-05-18,2313,97.4,31,3,Gun System,Rural,North Battalion,30,Cool
Type B,G-266,2020-10-12,5539,81.48,0,1,Sensors,Urban,East Battalion,28,Rainy
Type B,G-552,2020-09-20,9338,96.26,5,2,None,Urban,South Battalion,36,Hot
Type B,G-405,2018-04-07,4177,70.22,5,8,None,Semi-Urban,West Battalion,40,Dry
Type E,G-209,2019-05-11,4852,73.94,3,3,Gun System,Urban,North Battalion,35,Sunny
Type C,G-458,2021-12-03,8634,91.08,12,6,None,Urban,North Battalion,36,Sunny
Type C,G-576,2020-11-25,1296,85.12,50,3,None,Rural,South Battalion,33,Humid
Type C,G-234,2023-12-13,2947,84.96,37,6,Gun System,Urban,North Battalion,34,Sunny
Type E,G-868,2024-06-05,7121,96.86,41,3,None,Rural,North-East Battalion,26,Rainy
Type B,G-592,2024-10-31,3675,70.42,33,4,None,Rural,North-East Battalion,27,Rainy
Type A,G-339,2020-09-19,7618,83.46,25,3,None,Rural,South Battalion,29,Humid
Type D,G-883,2022-10-08,8892,91.22,4,2,Wiring,Rural,East Battalion,33,Cloudy
Type C,G-455,2019-11-15,5671,63.03,26,2,None,Rural,North-East Battalion,27,Rainy
Type B,G-714,2016-07-19,1184,60.08,32,2,None,Urban,North Battalion,34,Sunny
Type D,G-282,2024-09-12,2324,91.91,20,1,Wiring,Semi-Urban,West Battalion,40,Dry
Type C,G-106,2023-09-05,6428,99.52,11,9,None,Semi-Urban,West Battalion,34,Humid
Type E,G-891,2021-03-16,2381,77.09,42,7,Gun System,Rural,East Battalion,33,Cloudy
Type A,G-222,2018-07-30,8170,87.87,50,3,Brakes,Semi-Urban,West Battalion,31,Humid
Type E,G-207,2023-08-11,2423,98.86,36,8,None,Semi-Urban,West Battalion,30,Humid
Type D,G-332,2023-09-29,366,66.63,11,1,None,Rural,North-East Battalion,28,Rainy
Type E,G-814,2020-10-15,9168,70.01,45,7,None,Urban,South Battalion,35,Hot
Type C,G-352,2015-10-15,2635,69.38,4,1,Navigation System,Rural,North Battalion,29,Cool
Type A,G-607,2024-05-06,2393,79.49,39,5,None,Rural,North-East Battalion,26,Rainy
Type D,G-966,2022-06-26,4614,67.77,28,9,None,Urban,West Battalion,35,Hot
Type D,G-552,2019-02-04,4134,73.74,16,2,None,Rural,North-East Battalion,28,Rainy
Type D,G-635,2022-06-18,3389,66.53,46,3,Armor Plating,Urban,West Battalion,35,Hot
Type B,G-306,2019-05-04,596,98.52,9,5,Sensors,Urban,West Battalion,35,Hot
Type A,G-101,2015-12-30,9133,87.26,32,4,Transmission,Semi-Urban,West Battalion,34,Humid
Type A,G-459,2015-11-26,2492,85.91,9,5,Armor Plating,Urban,North Battalion,37,Sunny
Type B,G-158,2020-03-23,2955,77.62,34,6,Gun System,Semi-Urban,West Battalion,38,Dry
Type D,G-611,2023-05-30,3648,85.98,42,0,Navigation System,Rural,East Battalion,33,Cloudy
Type A,G-604,2016-09-30,3678,89.49,33,1,Brakes,Urban,South Battalion,35,Hot
Type D,G-837,2018-05-02,165,80.81,1,1,None,Rural,East Battalion,31,Cloudy
Type C,G-659,2015-12-21,6309,73.74,20,2,None,Rural,North-East Battalion,28,Rainy
Type C,G-535,2023-07-09,9552,79.87,24,1,None,Rural,North Battalion,26,Cool
Type D,G-948,2024-02-25,6837,88.06,49,4,None,Urban,North Battalion,35,Sunny
Type D,G-655,2017-10-29,7641,62.64,48,3,None,Semi-Urban,West Battalion,36,Dry
Type D,G-843,2015-06-26,7484,67.12,35,0,None,Urban,East Battalion,32,Rainy
Type A,G-847,2024-04-25,8192,99.0,48,2,Transmission,Urban,North Battalion,33,Sunny
Type A,G-505,2016-06-30,3474,87.18,28,6,Sensors,Rural,South Battalion,33,Humid
Type D,G-949,2024-04-06,8064,69.71,29,6,None,Urban,East Battalion,28,Rainy
Type C,G-298,2020-03-01,5099,68.69,3,9,None,Semi-Urban,West Battalion,37,Dry
Type E,G-460,2015-08-21,1128,94.69,39,9,Brakes,Semi-Urban,West Battalion,39,Dry
Type C,G-517,2016-07-18,2701,76.18,17,3,None,Rural,North-East Battalion,27,Rainy
Type C,G-560,2022-05-19,1429,70.26,24,5,None,Rural,North-East Battalion,26,Rainy
Type C,G-125,2016-01-21,8162,73.65,20,3,None,Urban,East Battalion,31,Rainy
Type B,G-743,2024-04-28,352,68.37,44,3,Sensors,Rural,South Battalion,29,Humid
Type D,G-625,2019-05-08,5430,77.65,9,2,Wiring,Urban,East Battalion,28,Rainy
Type C,G-259,2022-11-17,3728,85.22,10,0,Engine,Urban,West Battalion,34,Hot
Type C,G-602,2024-08-07,8485,70.51,35,8,None,Rural,South Battalion,29,Humid
Type B,G-807,2020-03-17,6140,62.07,17,5,None,Semi-Urban,West Battalion,30,Humid
Type B,G-140,2019-04-01,3169,81.28,32,8,None,Urban,East Battalion,29,Rainy
Type C,G-285,2022-09-30,1969,83.02,1,0,None,Urban,West Battalion,37,Hot
Type B,G-377,2016-09-03,3024,80.15,18,5,None,Semi-Urban,West Battalion,37,Dry
Type C,G-602,2019-05-29,8030,77.6,45,2,Sensors,Rural,South Battalion,30,Humid
Type D,G-927,2018-05-19,8076,83.82,40,4,Armor Plating,Rural,South Battalion,32,Humid
Type C,G-418,2023-06-25,1796,60.78,18,3,None,Rural,South Battalion,31,Humid
Type E,G-113,2024-07-16,4774,61.94,45,4,Brakes,Rural,North-East Battalion,26,Rainy
Type B,G-495,2020-04-03,4428,73.63,0,2,Engine,Rural,North Battalion,27,Cool
Type A,G-795,2016-06-23,3886,90.73,0,9,Engine,Rural,North-East Battalion,25,Rainy
Type E,G-720,2018-09-23,4353,83.53,31,3,None,Urban,South Battalion,33,Hot
Type B,G-867,2018-06-09,7083,93.29,19,9,Engine,Urban,South Battalion,33,Hot
Type E,G-325,2015-05-23,340,80.82,3,1,None,Semi-Urban,West Battalion,37,Dry
Type D,G-888,2024-11-14,6177,66.96,21,1,Engine,Semi-Urban,West Battalion,33,Humid
Type B,G-173,2021-08-12,3693,84.23,47,8,None,Rural,East Battalion,34,Cloudy
Type C,G-371,2018-04-12,9345,95.36,48,6,None,Semi-Urban,West Battalion,30,Humid
Type E,G-340,2019-10-29,1957,98.63,42,4,None,Semi-Urban,West Battalion,36,Dry
Type D,G-299,2025-02-13,7743,85.95,35,9,Armor Plating,Urban,West Battalion,37,Hot
Type A,G-135,2018-07-04,5247,90.61,25,2,Engine,Urban,East Battalion,28,Rainy
Type C,G-873,2021-09-17,2128,60.89,17,7,None,Semi-Urban,West Battalion,30,Humid
Type B,G-491,2023-10-29,7319,61.74,5,1,Navigation System,Rural,North-East Battalion,28,Rainy
Type E,G-632,2020-10-05,5550,86.45,28,6,None,Rural,South Battalion,31,Humid
Type D,G-929,2020-12-23,1119,76.41,39,4,None,Urban,East Battalion,30,Rainy
Type B,G-320,2020-02-02,2491,66.77,13,4,None,Rural,North-East Battalion,29,Rainy
Type D,G-686,2019-07-18,7689,73.36,41,3,None,Semi-Urban,West Battalion,37,Dry
Type A,G-486,2020-01-29,440,69.83,9,3,None,Rural,North Battalion,28,Cool
Type D,G-644,2019-06-17,6025,84.58,1,4,None,Rural,East Battalion,35,Cloudy
Type C,G-689,2024-09-24,8334,80.52,21,6,None,Urban,West Battalion,35,Hot
Type B,G-235,2016-06-30,6001,79.5,42,2,None,Rural,North Battalion,27,Cool
Type A,G-688,2015-12-03,7476,61.9,15,1,Radar,Semi-Urban,West Battalion,33,Humid
Type A,G-545,2024-06-28,4457,70.49,4,6,Transmission,Rural,East Battalion,31,Cloudy
Type D,G-729,2017-04-26,7939,79.75,49,3,None,Urban,East Battalion,30,Rainy
Type D,G-142,2023-11-06,5090,81.41,11,4,None,Urban,East Battalion,28,Rainy
Type D,G-592,2023-09-21,7209,87.3,10,2,None,Urban,West Battalion,35,Hot
Type A,G-723,2023-05-11,470,88.88,32,7,None,Urban,West Battalion,34,Hot
Type A,G-884,2024-08-16,5479,68.61,30,6,Gun System,Urban,East Battalion,32,Rainy
Type B,G-100,2023-02-27,8701,89.45,19,3,Radar,Semi-Urban,West Battalion,38,Dry
Type A,G-305,2024-09-20,5841,76.76,30,4,Wiring,Urban,East Battalion,30,Rainy
Type B,G-552,2019-03-14,5846,71.29,1,6,Armor Plating,Urban,East Battalion,28,Rainy
Type A,G-568,2020-11-13,4506,65.92,6,3,Sensors,Rural,North Battalion,28,Cool
Type E,G-727,2018-12-04,2579,84.14,18,3,Radar,Urban,East Battalion,28,Rainy
Type D,G-118,2018-09-03,9414,95.96,10,1,Wiring,Rural,South Battalion,32,Humid
Type E,G-693,2023-02-19,6017,96.45,48,10,None,Urban,West Battalion,37,Hot
Type A,G-759,2023-05-12,7631,85.53,35,2,Transmission,Rural,South Battalion,32,Humid
Type A,G-318,2020-06-03,7312,61.12,43,7,Sensors,Urban,West Battalion,34,Hot
Type A,G-567,2019-08-31,8192,60.32,2,5,None,Urban,East Battalion,29,Rainy
Type D,G-463,2018-07-05,931,84.32,21,5,Armor Plating,Urban,East Battalion,28,Rainy
Type C,G-853,2023-12-30,6721,87.56,23,6,Radar,Urban,East Battalion,32,Rainy
