Aircraft Type,Aircraft ID,Purchase Timestamp,Usage Hours,Performance Metrics,Maintenance Logs,Number of Failures,Parts with Issues,State,Area,Battalion,Temperature,Weather
Type B,A-448,2018-05-15,7162,89.52,42,7,Navigation System,Kerala,Central Command,Bravo Battalion,42.3,Foggy
Type D,A-530,2019-05-26,5401,98.73,35,0,Navigation System,Punjab,South Zone,Bravo Battalion,15.6,Rainy
Type E,A-553,2019-06-06,3635,88.35,12,8,,Kerala,Central Command,Charlie Battalion,23.6,Sunny
Type D,A-562,2019-06-12,8876,76.53,6,7,Brakes,Uttar Pradesh,South Zone,Alpha Battalion,18.9,Sunny
Type D,A-951,2017-04-23,8045,83.83,46,1,Armor Plating,Maharashtra,Central Command,Echo Force,19.6,Stormy
Type D,A-211,2021-04-13,8522,75.22,48,1,,Punjab,South Zone,Bravo Battalion,29.2,Rainy
Type E,A-323,2021-03-11,3388,83.07,20,5,,Gujarat,South Zone,Delta Squadron,17.4,Stormy
Type B,A-288,2020-10-08,3142,80.31,44,2,,Assam,North Zone,Charlie Battalion,12.7,Rainy
Type B,A-751,2016-12-31,6683,86.56,33,7,,Rajasthan,Central Command,Charlie Battalion,23.6,Rainy
Type E,A-441,2020-06-04,5056,80.78,33,0,Transmission,Maharashtra,North Zone,Bravo Battalion,44.4,Stormy
Type A,A-612,2023-08-14,1888,66.37,13,8,,Gujarat,Central Command,Delta Squadron,18.8,Windy
Type D,A-856,2019-09-02,2582,75.39,49,1,Sensors,Kerala,North Zone,Delta Squadron,44.5,Cloudy
Type C,A-871,2019-05-10,6168,78.78,21,8,,West Bengal,East Zone,Alpha Battalion,43.5,Sunny
Type E,A-275,2024-11-29,933,61.76,38,9,,Assam,South Zone,Bravo Battalion,29.9,Cloudy
Type A,A-380,2018-04-24,9303,94.56,23,3,Engine,Uttar Pradesh,Central Command,Echo Force,32.7,Cloudy
Type D,A-314,2024-09-21,2202,90.21,2,3,Armor Plating,Kerala,South Zone,Echo Force,14.5,Stormy
Type A,A-317,2018-03-31,3727,83.32,29,6,Sensors,Delhi,East Zone,Echo Force,18.2,Windy
Type B,A-318,2024-03-30,8211,68.81,0,4,Engine,Maharashtra,East Zone,Echo Force,37.7,Stormy
Type E,A-342,2017-01-13,3131,82.52,38,5,,West Bengal,North Zone,Bravo Battalion,35.1,Sunny
Type C,A-456,2023-06-11,2150,85.68,6,4,,Kerala,North Zone,Bravo Battalion,10.1,Cloudy
Type B,A-717,2024-04-13,904,83.38,38,6,Wiring,Kerala,North Zone,Echo Force,33.3,Sunny
Type B,A-479,2022-12-14,5454,95.95,35,4,,Tamil Nadu,Central Command,Echo Force,18.8,Rainy
Type B,A-989,2024-01-26,7385,68.78,44,1,Wiring,Maharashtra,South Zone,Echo Force,36.5,Cloudy
Type E,A-777,2023-02-05,5079,74.91,38,2,,West Bengal,West Zone,Charlie Battalion,24.5,Cloudy
Type C,A-429,2022-04-30,7085,78.19,6,3,,Punjab,West Zone,Charlie Battalion,17.5,Stormy
Type A,A-857,2020-05-23,1224,84.44,32,1,Brakes,Kerala,Central Command,Delta Squadron,19.1,Rainy
Type A,A-968,2021-07-16,6835,61.05,17,4,Armor Plating,Tamil Nadu,East Zone,Delta Squadron,40.4,Stormy
Type A,A-556,2021-02-11,6605,85.17,10,6,Radar,Assam,West Zone,Echo Force,26.6,Rainy
Type A,A-465,2019-06-09,6141,79.15,39,9,Gun System,Uttar Pradesh,South Zone,Charlie Battalion,15.2,Cloudy
Type B,A-898,2018-05-07,4907,98.67,4,6,Transmission,Gujarat,West Zone,Delta Squadron,18.6,Rainy
Type A,A-502,2018-04-05,142,89.26,33,2,,Tamil Nadu,East Zone,Delta Squadron,16.3,Sunny
Type D,A-545,2021-01-21,2012,72.16,34,4,Navigation System,West Bengal,North Zone,Delta Squadron,24.3,Stormy
Type D,A-652,2024-07-17,5429,89.76,48,4,,Delhi,South Zone,Alpha Battalion,18.8,Rainy
Type B,A-102,2023-04-26,4522,64.97,43,2,Wiring,Gujarat,South Zone,Charlie Battalion,21.3,Foggy
Type A,A-396,2015-04-30,4203,89.91,48,2,,Rajasthan,East Zone,Charlie Battalion,12.2,Foggy
Type A,A-892,2019-03-21,1310,60.48,29,5,Engine,Assam,East Zone,Alpha Battalion,14.1,Foggy
Type D,A-620,2015-03-21,8940,63.87,28,1,,Punjab,West Zone,Charlie Battalion,22.9,Sunny
Type D,A-551,2017-10-13,7990,71.58,40,3,Transmission,Gujarat,West Zone,Delta Squadron,17.3,Rainy
Type D,A-943,2019-09-20,2362,61.72,14,8,Wiring,Rajasthan,Central Command,Alpha Battalion,39.8,Rainy
Type C,A-274,2021-04-23,9936,83.5,7,1,,Kerala,North Zone,Echo Force,22.0,Sunny
Type A,A-914,2015-03-25,915,65.46,17,2,,West Bengal,North Zone,Bravo Battalion,29.6,Rainy
Type A,A-637,2018-12-01,7154,63.72,19,2,Navigation System,Tamil Nadu,West Zone,Bravo Battalion,40.6,Stormy
Type C,A-186,2020-08-25,7723,74.34,33,5,,Gujarat,South Zone,Charlie Battalion,10.1,Cloudy
Type C,A-675,2018-06-29,6069,66.49,8,3,,Kerala,North Zone,Bravo Battalion,39.2,Cloudy
Type A,A-379,2015-11-09,2902,68.13,40,5,Navigation System,Delhi,East Zone,Charlie Battalion,16.6,Sunny
Type C,A-635,2017-07-18,7729,70.01,39,2,Sensors,Rajasthan,South Zone,Charlie Battalion,29.9,Foggy
Type C,A-193,2023-08-13,8089,71.55,8,2,Gun System,Gujarat,North Zone,Echo Force,13.8,Windy
Type C,A-699,2016-05-28,3134,69.5,43,5,,Uttar Pradesh,Central Command,Alpha Battalion,15.9,Cloudy
Type A,A-272,2017-07-28,9171,79.01,38,3,,Delhi,North Zone,Echo Force,40.0,Stormy
Type C,A-158,2016-09-15,1106,70.82,35,4,,Maharashtra,West Zone,Alpha Battalion,13.6,Foggy
Type D,A-298,2019-09-21,638,72.66,43,2,Wiring,Punjab,Central Command,Alpha Battalion,31.6,Stormy
Type A,A-557,2017-10-07,4150,78.43,25,6,Armor Plating,Maharashtra,North Zone,Alpha Battalion,11.3,Foggy
Type D,A-579,2019-07-18,913,91.49,24,2,,Punjab,Central Command,Alpha Battalion,16.0,Rainy
Type D,A-547,2021-12-10,165,64.48,36,10,Radar,Punjab,Central Command,Alpha Battalion,19.4,Windy
Type C,A-203,2019-11-22,8867,96.81,12,6,,West Bengal,Central Command,Delta Squadron,26.0,Sunny
Type A,A-212,2024-07-17,496,97.43,10,3,Brakes,Rajasthan,East Zone,Bravo Battalion,35.0,Foggy
Type E,A-739,2021-07-25,3459,60.12,16,4,Radar,Tamil Nadu,East Zone,Alpha Battalion,35.9,Cloudy
Type A,A-273,2021-11-14,9518,67.02,6,8,Wiring,Punjab,South Zone,Alpha Battalion,31.6,Foggy
Type B,A-232,2020-03-17,5932,94.21,18,5,Transmission,Tamil Nadu,West Zone,Alpha Battalion,43.7,Windy
Type D,A-989,2021-06-07,1793,68.31,25,3,Engine,Gujarat,East Zone,Charlie Battalion,17.7,Rainy
Type E,A-985,2016-05-01,951,83.74,36,1,Navigation System,Rajasthan,South Zone,Delta Squadron,30.2,Stormy
Type B,A-383,2020-10-17,6105,82.63,12,2,,Delhi,Central Command,Alpha Battalion,41.2,Foggy
Type E,A-362,2022-08-27,6004,79.14,21,3,Engine,Uttar Pradesh,Central Command,Alpha Battalion,13.9,Sunny
Type D,A-849,2017-04-15,5685,86.06,13,8,Transmission,Delhi,North Zone,Charlie Battalion,34.1,Windy
Type B,A-349,2017-07-04,5159,90.01,23,4,Armor Plating,Rajasthan,East Zone,Echo Force,16.4,Stormy
Type D,A-395,2016-04-03,8070,70.07,37,7,,Uttar Pradesh,South Zone,Delta Squadron,16.0,Sunny
Type D,A-325,2016-12-20,9565,95.39,23,1,,Tamil Nadu,South Zone,Bravo Battalion,43.8,Rainy
Type D,A-247,2023-10-18,6601,62.93,31,2,,Delhi,East Zone,Echo Force,38.4,Stormy
Type C,A-867,2021-11-14,4348,95.28,0,5,Transmission,Gujarat,West Zone,Delta Squadron,15.7,Sunny
Type E,A-928,2015-04-08,9271,65.84,26,9,,Maharashtra,Central Command,Charlie Battalion,22.3,Sunny
Type C,A-216,2020-10-21,1250,65.24,40,6,,Uttar Pradesh,West Zone,Delta Squadron,13.1,Cloudy
Type C,A-547,2018-11-05,7899,98.19,44,4,Engine,Delhi,East Zone,Alpha Battalion,40.3,Sunny
Type C,A-496,2022-09-04,2661,60.53,24,5,,Maharashtra,East Zone,Delta Squadron,30.2,Cloudy
Type E,A-822,2019-02-17,2882,68.34,15,6,Engine,Punjab,South Zone,Charlie Battalion,14.8,Windy
Type E,A-634,2015-12-16,4157,66.08,23,3,,Tamil Nadu,West Zone,Delta Squadron,31.6,Stormy
Type A,A-527,2019-06-01,6696,60.19,29,5,,West Bengal,South Zone,Echo Force,31.9,Windy
Type C,A-696,2018-06-04,8446,95.05,5,9,Armor Plating,Uttar Pradesh,East Zone,Charlie Battalion,39.5,Sunny
Type E,A-837,2019-11-09,176,90.96,10,5,,Tamil Nadu,South Zone,Delta Squadron,17.7,Stormy
Type D,A-301,2022-08-14,5628,69.92,24,5,,Gujarat,West Zone,Delta Squadron,10.4,Foggy
Type D,A-121,2020-01-30,4226,84.69,19,4,Wiring,Punjab,South Zone,Bravo Battalion,37.4,Windy
Type A,A-124,2019-03-15,1578,61.07,7,4,Engine,Maharashtra,Central Command,Echo Force,21.9,Foggy
Type A,A-241,2016-10-10,5052,88.09,39,4,,Maharashtra,North Zone,Bravo Battalion,44.9,Cloudy
Type D,A-458,2024-04-20,7920,75.27,35,3,Brakes,Kerala,South Zone,Echo Force,29.1,Foggy
Type D,A-103,2017-11-06,9319,63.39,42,7,,Delhi,Central Command,Charlie Battalion,40.8,Windy
Type A,A-959,2020-09-04,5818,62.8,38,5,,Rajasthan,Central Command,Bravo Battalion,31.3,Sunny
Type B,A-944,2018-01-26,8733,98.12,16,8,,Assam,South Zone,Charlie Battalion,28.8,Cloudy
Type C,A-359,2020-05-14,8326,70.5,11,2,,Delhi,Central Command,Alpha Battalion,23.0,Sunny
Type A,A-912,2019-11-05,8450,75.54,17,3,,Assam,East Zone,Charlie Battalion,30.0,Foggy
Type B,A-895,2021-12-11,677,71.48,40,2,Transmission,Kerala,West Zone,Bravo Battalion,35.3,Stormy
Type A,A-618,2022-07-12,9534,77.73,35,9,Armor Plating,Tamil Nadu,West Zone,Delta Squadron,39.0,Rainy
Type A,A-462,2024-10-03,2812,81.63,1,6,Engine,Maharashtra,West Zone,Bravo Battalion,44.4,Foggy
Type C,A-177,2022-04-06,8201,73.39,36,6,Sensors,Gujarat,West Zone,Charlie Battalion,25.2,Windy
Type A,A-621,2018-06-29,4310,65.76,2,4,,Tamil Nadu,East Zone,Echo Force,43.7,Foggy
Type C,A-879,2016-04-28,8506,64.83,30,10,,Gujarat,West Zone,Charlie Battalion,18.2,Cloudy
Type D,A-700,2024-12-23,3425,71.66,31,1,Radar,Punjab,Central Command,Echo Force,31.1,Sunny
Type D,A-468,2016-03-18,492,87.54,21,2,,Gujarat,North Zone,Bravo Battalion,11.1,Sunny
Type E,A-365,2015-12-08,1191,91.89,50,4,,Assam,Central Command,Bravo Battalion,14.7,Windy
Type D,A-145,2021-02-07,4919,70.91,4,2,,Tamil Nadu,Central Command,Bravo Battalion,39.8,Stormy
Type A,A-342,2023-10-22,839,86.37,41,1,,Tamil Nadu,North Zone,Delta Squadron,35.2,Sunny
Type D,A-432,2022-05-12,1459,99.63,32,2,Brakes,Punjab,North Zone,Alpha Battalion,22.2,Sunny
Type D,A-245,2024-12-30,3123,74.16,16,2,,Maharashtra,East Zone,Bravo Battalion,19.4,Rainy
Type E,A-923,2017-05-24,9365,75.31,5,2,,Assam,Central Command,Charlie Battalion,11.0,Windy
Type E,A-585,2016-02-07,2737,85.71,41,8,Wiring,Gujarat,South Zone,Echo Force,41.2,Cloudy
Type E,A-587,2015-05-28,1997,81.38,47,3,Armor Plating,Gujarat,South Zone,Alpha Battalion,10.9,Cloudy
Type D,A-831,2023-01-19,832,66.78,46,7,Gun System,Maharashtra,South Zone,Delta Squadron,28.0,Stormy
Type D,A-229,2015-06-25,8940,90.83,49,8,,Tamil Nadu,South Zone,Alpha Battalion,24.3,Foggy
Type E,A-734,2025-02-05,808,75.37,13,6,Gun System,Punjab,North Zone,Delta Squadron,32.2,Sunny
Type C,A-263,2016-09-16,856,65.41,45,5,Radar,Punjab,East Zone,Bravo Battalion,16.8,Sunny
Type E,A-318,2021-11-04,3796,90.38,34,4,,Maharashtra,East Zone,Alpha Battalion,24.8,Sunny
Type E,A-257,2021-02-27,2016,93.16,16,2,,Gujarat,West Zone,Charlie Battalion,15.2,Cloudy
Type C,A-534,2018-04-04,8064,98.42,0,6,Sensors,Kerala,North Zone,Alpha Battalion,24.5,Rainy
Type C,A-403,2017-02-07,2909,90.17,42,1,,Maharashtra,West Zone,Bravo Battalion,29.9,Sunny
Type D,A-140,2022-03-13,3821,69.81,32,3,Sensors,Assam,East Zone,Alpha Battalion,43.7,Windy
Type E,A-228,2015-03-07,6416,74.72,36,0,Armor Plating,Punjab,West Zone,Echo Force,34.5,Stormy
Type B,A-545,2018-04-23,4674,67.39,46,7,Brakes,Rajasthan,West Zone,Charlie Battalion,44.8,Windy
Type C,A-258,2024-01-03,7097,85.77,28,0,Transmission,Punjab,East Zone,Echo Force,28.0,Sunny
Type E,A-155,2015-06-22,329,83.85,3,6,,Punjab,East Zone,Bravo Battalion,21.0,Rainy
Type A,A-605,2023-03-13,3031,73.22,2,3,Brakes,Uttar Pradesh,South Zone,Bravo Battalion,14.3,Windy
Type B,A-860,2015-12-04,7993,66.7,4,3,Radar,West Bengal,West Zone,Delta Squadron,18.5,Windy
Type D,A-951,2024-04-01,6419,87.18,19,8,Transmission,Kerala,South Zone,Delta Squadron,17.9,Rainy
Type D,A-346,2021-03-03,2574,63.43,21,4,Transmission,Maharashtra,South Zone,Delta Squadron,36.0,Sunny
Type A,A-610,2021-06-30,9465,96.23,13,3,,Maharashtra,East Zone,Bravo Battalion,38.1,Cloudy
Type C,A-274,2020-07-10,933,85.45,34,6,Gun System,Delhi,Central Command,Delta Squadron,13.6,Rainy
Type C,A-258,2018-04-07,338,84.01,11,9,Sensors,Gujarat,North Zone,Delta Squadron,22.2,Rainy
Type C,A-700,2023-05-20,4345,92.64,17,5,,Maharashtra,Central Command,Delta Squadron,30.7,Stormy
Type A,A-295,2017-12-28,5921,94.77,7,4,,Rajasthan,South Zone,Delta Squadron,36.9,Cloudy
Type C,A-921,2018-07-21,2151,96.94,25,8,Wiring,Uttar Pradesh,West Zone,Bravo Battalion,39.3,Foggy
Type E,A-447,2015-08-20,3503,95.64,41,4,,Rajasthan,South Zone,Bravo Battalion,12.8,Stormy
Type B,A-490,2021-02-18,1344,64.33,28,2,,Kerala,South Zone,Delta Squadron,43.4,Stormy
Type D,A-480,2018-04-04,2007,78.83,17,3,Engine,Punjab,Central Command,Echo Force,44.8,Stormy
Type C,A-840,2015-08-25,1387,88.9,17,2,,Uttar Pradesh,South Zone,Bravo Battalion,43.1,Windy
Type B,A-644,2019-03-02,2283,60.47,5,3,Engine,Delhi,West Zone,Delta Squadron,26.2,Sunny
Type D,A-256,2017-06-07,9646,73.49,18,3,,Maharashtra,West Zone,Alpha Battalion,39.0,Sunny
Type D,A-658,2021-01-31,792,67.06,29,3,Navigation System,Tamil Nadu,East Zone,Charlie Battalion,35.8,Stormy
Type A,A-464,2023-04-04,9318,69.29,9,1,Wiring,Maharashtra,East Zone,Echo Force,23.3,Windy
Type C,A-885,2017-02-12,8380,81.91,33,4,,Tamil Nadu,North Zone,Echo Force,31.3,Cloudy
Type B,A-132,2018-01-29,9727,62.14,6,6,,West Bengal,Central Command,Delta Squadron,11.3,Foggy
Type B,A-182,2016-03-14,6717,85.83,19,8,Wiring,Punjab,North Zone,Delta Squadron,23.2,Foggy
Type B,A-752,2019-12-26,1918,75.08,16,3,,Punjab,East Zone,Alpha Battalion,37.5,Rainy
Type B,A-121,2019-12-07,1198,82.56,4,2,,Kerala,East Zone,Charlie Battalion,30.1,Windy
Type B,A-505,2020-03-24,5372,61.69,27,4,,Gujarat,Central Command,Bravo Battalion,20.7,Foggy
Type B,A-174,2018-05-22,972,87.83,35,3,Armor Plating,Uttar Pradesh,Central Command,Bravo Battalion,43.7,Windy
Type E,A-742,2022-09-15,6629,80.13,27,2,,Uttar Pradesh,East Zone,Bravo Battalion,18.0,Windy
Type A,A-880,2019-09-18,1032,80.32,25,2,Wiring,Assam,West Zone,Delta Squadron,42.7,Sunny
Type C,A-359,2021-06-19,2350,89.65,13,7,Brakes,Assam,South Zone,Charlie Battalion,42.5,Windy
Type E,A-315,2020-09-27,9723,84.12,26,0,Radar,Punjab,East Zone,Charlie Battalion,10.9,Windy
Type A,A-128,2024-03-24,7916,64.58,9,8,,Gujarat,East Zone,Charlie Battalion,31.3,Stormy
Type E,A-384,2015-04-01,8926,73.99,26,4,Brakes,Uttar Pradesh,East Zone,Delta Squadron,25.0,Windy
Type C,A-129,2015-09-21,3779,76.23,45,6,,Kerala,West Zone,Echo Force,33.7,Stormy
Type D,A-759,2015-10-15,4660,92.88,15,3,,West Bengal,East Zone,Bravo Battalion,38.2,Rainy
Type C,A-924,2022-12-07,3581,90.98,27,3,,Punjab,South Zone,Bravo Battalion,20.2,Sunny
Type E,A-486,2019-01-14,7593,68.8,3,3,Radar,Gujarat,East Zone,Bravo Battalion,30.7,Sunny
Type E,A-746,2025-01-07,1135,83.14,24,10,,Punjab,West Zone,Bravo Battalion,30.1,Windy
Type D,A-837,2020-07-08,298,64.21,34,0,Armor Plating,Gujarat,North Zone,Delta Squadron,33.6,Cloudy
Type E,A-529,2019-04-18,4496,85.48,37,3,Navigation System,Punjab,West Zone,Delta Squadron,43.1,Windy
Type D,A-739,2015-09-07,6943,60.31,12,4,Navigation System,West Bengal,North Zone,Alpha Battalion,34.3,Windy
Type D,A-768,2017-04-26,5969,67.46,40,7,Gun System,Gujarat,North Zone,Alpha Battalion,21.6,Windy
Type E,A-522,2017-09-27,1938,63.68,31,4,Armor Plating,Delhi,East Zone,Charlie Battalion,14.6,Sunny
Type D,A-261,2022-10-30,1094,84.58,48,9,,Gujarat,East Zone,Bravo Battalion,33.0,Cloudy
Type C,A-228,2019-06-22,8480,68.16,28,2,,Delhi,East Zone,Charlie Battalion,25.1,Rainy
Type D,A-531,2018-06-29,3216,69.24,2,1,Gun System,Punjab,East Zone,Alpha Battalion,25.5,Windy
Type B,A-950,2015-10-06,4366,64.38,7,5,,Delhi,East Zone,Delta Squadron,21.4,Windy
Type B,A-939,2019-06-04,9273,63.2,37,9,Radar,Gujarat,Central Command,Alpha Battalion,41.7,Sunny
Type C,A-826,2022-04-07,9069,85.58,12,7,Radar,Kerala,West Zone,Delta Squadron,37.9,Windy
Type B,A-432,2024-06-26,7554,70.13,20,6,,West Bengal,North Zone,Delta Squadron,28.2,Windy
Type A,A-455,2016-08-26,3738,99.49,19,1,Transmission,Delhi,East Zone,Echo Force,21.0,Cloudy
Type B,A-724,2022-04-14,2642,69.04,8,3,,Tamil Nadu,West Zone,Delta Squadron,40.6,Stormy
Type C,A-696,2021-11-10,7324,72.14,27,6,Wiring,Punjab,East Zone,Echo Force,37.7,Sunny
Type C,A-187,2015-07-12,802,83.52,22,7,,Assam,North Zone,Alpha Battalion,43.3,Cloudy
Type B,A-320,2019-11-16,146,91.46,18,2,Transmission,Uttar Pradesh,South Zone,Bravo Battalion,25.4,Sunny
Type D,A-147,2016-04-29,6434,66.97,8,3,Sensors,Kerala,South Zone,Echo Force,38.4,Stormy
Type A,A-622,2021-08-28,6935,61.62,36,2,Radar,Assam,East Zone,Bravo Battalion,20.5,Rainy
Type D,A-812,2019-04-23,2170,67.86,49,9,Sensors,Rajasthan,South Zone,Delta Squadron,42.4,Foggy
Type A,A-120,2019-06-23,912,78.81,48,7,Engine,Tamil Nadu,East Zone,Echo Force,40.2,Sunny
Type C,A-120,2017-10-27,1637,93.26,44,4,,Assam,East Zone,Alpha Battalion,26.8,Stormy
Type C,A-615,2020-01-27,918,98.69,35,2,Radar,Delhi,Central Command,Delta Squadron,22.0,Rainy
Type E,A-173,2024-05-20,2997,98.8,36,6,,Kerala,North Zone,Alpha Battalion,33.2,Stormy
Type C,A-463,2022-01-29,6028,75.7,18,8,,Gujarat,West Zone,Bravo Battalion,43.0,Rainy
Type E,A-358,2022-06-15,1664,78.66,34,3,,Punjab,South Zone,Bravo Battalion,14.1,Sunny
Type E,A-276,2022-03-03,2984,88.56,30,3,,Kerala,South Zone,Echo Force,38.8,Sunny
Type A,A-189,2021-05-18,9512,90.42,27,5,Transmission,Punjab,Central Command,Delta Squadron,22.0,Cloudy
Type C,A-476,2022-06-25,6494,67.06,5,9,,Uttar Pradesh,South Zone,Echo Force,28.6,Windy
Type A,A-308,2015-04-22,2737,77.11,34,3,Armor Plating,Assam,East Zone,Alpha Battalion,23.5,Foggy
Type C,A-164,2017-08-04,4231,73.91,9,4,,Gujarat,West Zone,Echo Force,24.1,Stormy
Type E,A-999,2019-07-09,4999,95.61,29,1,Wiring,Kerala,Central Command,Echo Force,39.4,Windy
Type C,A-775,2015-11-15,285,82.94,24,9,Navigation System,Rajasthan,Central Command,Charlie Battalion,23.1,Sunny
Type E,A-894,2023-08-08,3374,69.23,45,4,Radar,Punjab,South Zone,Delta Squadron,44.6,Cloudy
Type E,A-172,2018-09-17,8023,77.21,5,4,,Rajasthan,West Zone,Alpha Battalion,17.6,Windy
Type A,A-536,2017-04-04,5132,76.54,13,8,,Kerala,West Zone,Echo Force,41.5,Foggy
Type E,A-388,2016-11-12,1288,92.91,1,8,Wiring,Tamil Nadu,North Zone,Echo Force,29.4,Windy
Type A,A-794,2023-10-24,9109,97.31,5,6,Radar,Gujarat,North Zone,Alpha Battalion,44.2,Cloudy
Type E,A-801,2018-09-13,349,94.01,35,8,Armor Plating,Maharashtra,North Zone,Charlie Battalion,19.7,Foggy
Type D,A-242,2020-12-20,6048,65.28,15,1,Sensors,Maharashtra,North Zone,Echo Force,31.5,Rainy
Type A,A-827,2024-10-31,9139,87.51,1,6,,Tamil Nadu,North Zone,Delta Squadron,16.7,Sunny
Type D,A-876,2019-08-16,4311,83.63,29,2,,Assam,Central Command,Bravo Battalion,11.3,Sunny
Type E,A-577,2024-05-13,594,98.64,45,6,,Delhi,East Zone,Alpha Battalion,16.8,Windy
Type C,A-250,2020-01-02,2898,81.6,29,1,Gun System,Tamil Nadu,North Zone,Echo Force,21.4,Sunny
Type C,A-635,2020-01-16,7962,79.25,0,9,Wiring,Maharashtra,South Zone,Bravo Battalion,38.5,Sunny
Type E,A-628,2017-02-21,5764,83.84,12,6,Armor Plating,West Bengal,Central Command,Echo Force,28.3,Windy
Type E,A-435,2019-07-24,1282,93.75,40,7,,Assam,North Zone,Bravo Battalion,18.1,Cloudy
Type E,A-598,2023-07-04,1344,87.88,12,2,,Delhi,East Zone,Delta Squadron,12.8,Cloudy
Type C,A-468,2024-04-01,8362,78.41,31,1,,Uttar Pradesh,North Zone,Echo Force,22.7,Rainy
Type E,A-930,2017-12-03,6924,70.66,10,2,Engine,Rajasthan,East Zone,Delta Squadron,26.4,Sunny
Type A,A-393,2020-08-03,4522,82.72,48,3,Brakes,West Bengal,South Zone,Echo Force,33.1,Sunny
Type B,A-758,2017-12-30,4955,84.36,2,10,Brakes,Rajasthan,South Zone,Bravo Battalion,14.1,Cloudy
Type E,A-952,2024-04-22,6328,64.36,20,3,,Delhi,West Zone,Charlie Battalion,23.1,Cloudy
Type D,A-910,2021-09-29,1155,63.83,47,4,,Tamil Nadu,West Zone,Bravo Battalion,16.8,Foggy
Type C,A-409,2024-10-16,8175,85.78,43,10,,Assam,West Zone,Echo Force,36.9,Stormy
Type E,A-238,2023-05-12,4215,89.58,47,7,Sensors,Maharashtra,North Zone,Delta Squadron,35.3,Rainy
Type A,A-522,2023-04-13,8848,79.82,5,3,,Kerala,Central Command,Alpha Battalion,34.2,Rainy
Type E,A-757,2015-09-26,9679,92.29,8,7,,Delhi,North Zone,Echo Force,23.1,Cloudy
Type D,A-122,2018-07-05,6021,92.22,48,2,Navigation System,Uttar Pradesh,West Zone,Bravo Battalion,13.8,Cloudy
Type D,A-437,2022-02-20,4310,70.52,8,1,,Punjab,West Zone,Delta Squadron,13.7,Stormy
Type C,A-658,2015-04-05,2346,65.45,13,1,,West Bengal,Central Command,Alpha Battalion,37.3,Windy
Type B,A-582,2022-08-07,6633,92.36,42,1,Gun System,Tamil Nadu,Central Command,Charlie Battalion,37.8,Foggy
Type C,A-468,2022-03-04,3837,85.3,27,10,,Gujarat,Central Command,Alpha Battalion,37.4,Windy
Type A,A-450,2016-01-07,9442,63.38,33,4,Armor Plating,Maharashtra,East Zone,Charlie Battalion,38.2,Foggy
Type C,A-867,2019-12-08,3982,78.01,39,3,,Gujarat,West Zone,Bravo Battalion,10.5,Cloudy
Type B,A-486,2024-06-29,1606,89.38,50,1,,Tamil Nadu,West Zone,Echo Force,39.1,Sunny
Type A,A-432,2016-02-16,4429,80.0,30,0,,Rajasthan,North Zone,Alpha Battalion,39.7,Foggy
Type D,A-318,2024-08-01,5807,82.69,37,7,,Kerala,North Zone,Charlie Battalion,40.5,Foggy
Type C,A-315,2021-12-18,776,86.6,15,3,,Uttar Pradesh,North Zone,Charlie Battalion,10.3,Windy
Type A,A-373,2023-04-28,4337,76.5,11,10,Radar,Assam,East Zone,Bravo Battalion,19.8,Rainy
Type B,A-337,2015-09-08,6058,70.73,30,5,,Delhi,North Zone,Charlie Battalion,23.3,Stormy
Type D,A-572,2023-04-06,4310,78.46,45,5,,West Bengal,West Zone,Charlie Battalion,17.9,Rainy
Type D,A-487,2022-08-16,7079,68.2,7,1,Brakes,Maharashtra,South Zone,Alpha Battalion,10.9,Cloudy
Type B,A-828,2017-03-08,951,88.99,40,6,Engine,Maharashtra,Central Command,Charlie Battalion,43.5,Foggy
Type B,A-477,2019-12-06,4896,62.83,43,2,,Punjab,West Zone,Bravo Battalion,44.0,Rainy
Type E,A-273,2017-12-12,8289,87.27,10,5,,West Bengal,Central Command,Delta Squadron,20.1,Rainy
Type C,A-624,2016-01-10,4799,80.86,44,2,Sensors,Punjab,South Zone,Bravo Battalion,42.3,Stormy
Type B,A-517,2023-10-26,4645,89.32,31,5,,Tamil Nadu,Central Command,Delta Squadron,43.6,Foggy
Type B,A-990,2018-03-05,1835,79.43,40,7,,West Bengal,West Zone,Echo Force,37.0,Windy
Type B,A-791,2024-02-16,2783,68.48,32,8,,Kerala,West Zone,Charlie Battalion,42.1,Foggy
Type D,A-840,2021-07-19,2928,65.34,17,6,,Delhi,North Zone,Charlie Battalion,27.3,Sunny
Type D,A-594,2018-06-26,2200,60.15,6,10,,Kerala,East Zone,Charlie Battalion,10.4,Windy
Type D,A-551,2020-08-18,2185,66.11,11,0,,Rajasthan,Central Command,Bravo Battalion,20.2,Cloudy
Type C,A-527,2016-06-10,2524,61.28,9,1,Gun System,Maharashtra,Central Command,Echo Force,44.6,Windy
Type D,A-144,2020-05-05,6477,63.27,28,7,,Maharashtra,West Zone,Echo Force,28.5,Windy
Type E,A-608,2023-09-16,7804,91.32,49,3,,Assam,Central Command,Bravo Battalion,19.5,Windy
Type E,A-320,2016-08-29,2370,82.2,12,3,,Assam,North Zone,Delta Squadron,22.2,Stormy
Type B,A-820,2024-08-31,9233,70.49,6,8,,Maharashtra,South Zone,Charlie Battalion,15.3,Windy
Type B,A-631,2019-07-01,2072,74.27,16,5,Navigation System,Uttar Pradesh,South Zone,Charlie Battalion,15.7,Rainy
