Vehicle Type,Vehicle ID,Purchase Timestamp,Usage Hours,Performance Metrics,Maintenance Logs,Number of Failures,Parts with Issues,State,Area,Battalion,Temperature,Weather Conditions
Type E,V-304,2019-11-16,1905,72.66,30,2,Wiring,Assam,Plains,Sikh Light Infantry,28,Foggy
Type E,V-864,2024-05-09,476,91.89,44,1,None,Sikkim,Mountainous,Jat Regiment,2,Foggy
Type D,V-870,2022-07-12,7385,98.99,15,1,None,Rajasthan,Desert,Rajput Regiment,33,Clear Skies
Type A,V-293,2024-09-28,3769,75.78,37,3,Transmission,Manipur,Jungle,Jat Regiment,25,Heavy Rain
Type B,V-783,2019-01-16,7389,80.14,49,4,None,Sikkim,Mountainous,Naga Regiment,-7,Extreme Cold
Type B,V-277,2015-06-13,366,64.6,8,3,Gun System,Himachal Pradesh,Hilly,Kumaon Regiment,5,Rainy
Type A,V-244,2023-04-08,3239,99.84,13,4,None,Assam,Plains,Rajput Regiment,30,Foggy
Type B,V-747,2017-02-22,8147,72.39,1,3,Engine,Punjab,Plains,Jat Regiment,20,Clear Skies
Type C,V-683,2019-08-21,8603,69.36,8,5,None,Himachal Pradesh,Hilly,Punjab Regiment,7,Rainy
Type A,V-722,2023-10-30,141,87.92,44,8,None,Himachal Pradesh,Hilly,Assam Rifles,8,Cool Climate
Type B,V-709,2020-11-24,6920,99.39,12,1,Brakes,Uttarakhand,Mountainous,Bihar Regiment,-6,Snowfall
Type C,V-835,2018-08-11,836,94.83,44,3,None,Sikkim,Mountainous,Bihar Regiment,8,Snowfall
Type C,V-511,2020-04-29,5757,60.8,41,7,None,Nagaland,Jungle,Kumaon Regiment,32,Heavy Rain
Type E,V-198,2018-09-21,2603,74.24,6,1,Navigation System,Sikkim,Mountainous,Gorkha Rifles,10,Snowfall
Type C,V-737,2020-08-30,3929,70.92,9,9,Wiring,Arunachal Pradesh,Jungle,Gorkha Rifles,23,Foggy
Type D,V-455,2021-10-10,813,60.78,11,5,None,Assam,Plains,Punjab Regiment,26,Foggy
Type D,V-999,2023-05-24,8897,79.13,9,5,Radar,Sikkim,Mountainous,Sikh Light Infantry,-6,Snowfall
Type B,V-122,2024-02-15,4972,77.01,46,7,None,Arunachal Pradesh,Jungle,Dogra Regiment,20,Foggy
Type E,V-847,2019-05-15,7218,95.86,20,3,Radar,Nagaland,Jungle,Bihar Regiment,35,Foggy
Type A,V-581,2021-10-23,5779,91.98,32,6,None,Jammu & Kashmir,Mountainous,Punjab Regiment,-10,Extreme Cold
Type E,V-629,2021-03-23,8513,86.13,23,1,Wiring,Punjab,Plains,Naga Regiment,22,Foggy
Type C,V-930,2022-01-20,1785,78.08,6,1,None,Uttarakhand,Mountainous,Sikh Light Infantry,2,Foggy
Type A,V-236,2016-02-08,523,96.19,47,2,Engine,Uttarakhand,Mountainous,Kumaon Regiment,9,Snowfall
Type C,V-429,2025-02-26,8375,75.3,45,7,Transmission,Jammu & Kashmir,Mountainous,Naga Regiment,-9,Extreme Cold
Type D,V-207,2015-05-22,3979,61.75,40,4,None,Sikkim,Mountainous,Kumaon Regiment,-7,Extreme Cold
Type C,V-738,2017-08-03,3964,88.48,46,1,None,Sikkim,Mountainous,Naga Regiment,-9,Extreme Cold
Type D,V-582,2024-06-04,6759,83.78,5,3,None,Uttarakhand,Mountainous,Naga Regiment,4,Foggy
Type D,V-889,2021-10-14,996,76.66,2,0,Wiring,Manipur,Jungle,Punjab Regiment,24,Humid
Type C,V-203,2016-09-17,350,95.21,11,6,None,Manipur,Jungle,Assam Rifles,27,Humid
Type D,V-700,2015-03-16,2784,60.88,37,9,None,Arunachal Pradesh,Jungle,Assam Rifles,35,Humid
Type D,V-687,2019-07-10,1356,76.82,23,1,None,Rajasthan,Desert,Jat Regiment,34,Clear Skies
Type B,V-364,2021-08-03,6374,97.59,14,0,Navigation System,Manipur,Jungle,Assam Rifles,24,Foggy
Type A,V-872,2017-08-16,3889,98.59,7,6,None,Nagaland,Jungle,Punjab Regiment,32,Heavy Rain
Type E,V-624,2023-02-12,7148,63.88,15,2,Engine,Assam,Plains,Kumaon Regiment,27,Clear Skies
Type A,V-720,2017-05-16,9718,91.92,11,2,Engine,Uttarakhand,Mountainous,Rajput Regiment,9,Foggy
Type A,V-931,2023-09-12,7165,84.29,17,2,Armor Plating,Assam,Plains,Kumaon Regiment,17,Clear Skies
Type A,V-290,2019-09-28,4250,69.66,17,8,None,Jammu & Kashmir,Mountainous,Gorkha Rifles,-3,Foggy
Type A,V-942,2019-01-07,4412,72.32,14,5,Wiring,Manipur,Jungle,Punjab Regiment,28,Heavy Rain
Type D,V-589,2015-11-20,3841,65.94,11,3,Navigation System,Sikkim,Mountainous,Dogra Regiment,6,Snowfall
Type E,V-514,2016-08-11,331,70.62,18,4,None,Assam,Plains,Jat Regiment,23,Clear Skies
Type C,V-333,2018-11-21,8093,73.95,34,0,Sensors,Uttarakhand,Mountainous,Sikh Light Infantry,-1,Snowfall
Type C,V-586,2019-08-12,6650,79.5,50,1,Radar,Rajasthan,Desert,Punjab Regiment,49,Dust Storms
Type D,V-858,2024-05-02,3310,93.78,18,0,None,Rajasthan,Desert,Rajput Regiment,44,Dust Storms
Type A,V-893,2019-03-23,4356,73.85,49,3,Wiring,Rajasthan,Desert,Sikh Light Infantry,31,Dust Storms
Type B,V-253,2020-06-13,7528,70.17,49,4,None,Himachal Pradesh,Hilly,Rajput Regiment,12,Rainy
Type C,V-761,2023-10-31,1808,73.73,17,7,Sensors,Sikkim,Mountainous,Punjab Regiment,0,Extreme Cold
Type C,V-613,2021-07-04,2014,70.35,24,1,None,Assam,Plains,Naga Regiment,11,Mild Cold
Type B,V-331,2022-05-31,781,61.47,7,1,None,Nagaland,Jungle,Bihar Regiment,33,Foggy
Type C,V-496,2015-12-26,1253,66.9,11,6,None,Sikkim,Mountainous,Dogra Regiment,5,Snowfall
Type C,V-517,2020-08-10,2422,88.88,41,10,Wiring,Assam,Plains,Assam Rifles,20,Clear Skies
Type D,V-464,2018-07-13,2880,71.94,2,2,None,Sikkim,Mountainous,Sikh Light Infantry,4,Extreme Cold
Type D,V-243,2022-04-02,423,69.22,41,6,None,Punjab,Plains,Sikh Light Infantry,26,Foggy
Type D,V-193,2019-08-06,9629,71.67,46,2,Brakes,Uttarakhand,Mountainous,Jat Regiment,9,Foggy
Type A,V-328,2017-02-10,1190,90.59,30,2,None,Manipur,Jungle,Rajput Regiment,33,Foggy
Type D,V-344,2021-01-31,7523,66.36,20,4,Engine,Jammu & Kashmir,Mountainous,Sikh Light Infantry,6,Foggy
Type B,V-772,2017-04-28,4881,97.78,9,3,None,Punjab,Plains,Sikh Light Infantry,17,Clear Skies
Type C,V-133,2019-12-16,963,69.89,44,2,None,Sikkim,Mountainous,Kumaon Regiment,-4,Extreme Cold
Type C,V-578,2019-03-14,910,73.13,31,7,None,Jammu & Kashmir,Mountainous,Kumaon Regiment,0,Snowfall
Type D,V-677,2017-07-26,3909,98.08,19,2,None,Nagaland,Jungle,Naga Regiment,31,Humid
Type D,V-768,2015-06-23,4695,65.92,33,1,None,Assam,Plains,Punjab Regiment,24,Clear Skies
Type D,V-496,2015-07-09,1502,75.72,13,5,Gun System,Sikkim,Mountainous,Assam Rifles,-10,Foggy
Type B,V-207,2024-04-10,8565,64.23,25,8,None,Nagaland,Jungle,Assam Rifles,35,Humid
Type C,V-236,2018-08-12,6855,92.09,40,3,None,Himachal Pradesh,Hilly,Punjab Regiment,19,Cool Climate
Type C,V-226,2021-03-18,2874,95.68,19,4,None,Punjab,Plains,Rajput Regiment,17,Mild Cold
Type C,V-613,2022-09-23,6258,74.5,38,5,Navigation System,Jammu & Kashmir,Mountainous,Bihar Regiment,-7,Snowfall
Type E,V-788,2019-09-09,180,78.67,4,6,Navigation System,Jammu & Kashmir,Mountainous,Jat Regiment,-5,Foggy
Type E,V-501,2023-05-24,8113,88.4,1,8,None,Manipur,Jungle,Assam Rifles,26,Foggy
Type E,V-756,2017-08-13,8691,83.41,29,3,Navigation System,Uttarakhand,Mountainous,Dogra Regiment,-7,Foggy
Type C,V-723,2016-02-20,5151,71.32,16,10,None,Himachal Pradesh,Hilly,Sikh Light Infantry,15,Cool Climate
Type A,V-156,2016-11-11,1306,73.34,15,0,None,Manipur,Jungle,Punjab Regiment,30,Foggy
Type C,V-429,2019-06-28,3729,89.17,7,8,None,Himachal Pradesh,Hilly,Jat Regiment,15,Rainy
Type C,V-987,2016-03-06,8867,96.31,22,4,Gun System,Rajasthan,Desert,Sikh Light Infantry,50,Hot and Dry
Type D,V-860,2016-02-08,5958,71.49,36,4,Armor Plating,Rajasthan,Desert,Punjab Regiment,31,Hot and Dry
Type C,V-701,2018-06-06,5078,81.95,46,1,None,Arunachal Pradesh,Jungle,Sikh Light Infantry,30,Heavy Rain
Type E,V-194,2016-12-10,998,60.41,12,1,Armor Plating,Manipur,Jungle,Assam Rifles,34,Humid
Type C,V-830,2019-12-17,1159,89.42,9,5,Gun System,Nagaland,Jungle,Rajput Regiment,21,Humid
Type C,V-657,2020-03-15,6866,96.22,39,3,Brakes,Manipur,Jungle,Assam Rifles,31,Foggy
Type E,V-849,2020-12-08,7526,70.97,30,4,None,Manipur,Jungle,Gorkha Rifles,24,Humid
Type D,V-392,2023-08-31,3802,77.82,6,9,Brakes,Sikkim,Mountainous,Sikh Light Infantry,10,Foggy
Type E,V-310,2024-03-03,8177,88.12,39,1,Armor Plating,Sikkim,Mountainous,Kumaon Regiment,-8,Extreme Cold
Type A,V-544,2017-04-12,6337,72.66,41,5,None,Rajasthan,Desert,Jat Regiment,46,Clear Skies
Type E,V-331,2016-06-20,8287,61.19,18,3,Armor Plating,Nagaland,Jungle,Rajput Regiment,35,Heavy Rain
Type A,V-937,2018-02-24,5414,61.09,39,2,Radar,Manipur,Jungle,Jat Regiment,27,Foggy
Type E,V-531,2018-05-22,7090,91.48,20,7,None,Punjab,Plains,Dogra Regiment,26,Mild Cold
Type C,V-342,2020-09-21,8571,72.66,0,4,Gun System,Assam,Plains,Kumaon Regiment,18,Foggy
Type D,V-952,2020-12-09,6796,82.54,11,7,Navigation System,Rajasthan,Desert,Punjab Regiment,38,Clear Skies
Type C,V-775,2023-03-31,7091,88.72,22,4,None,Uttarakhand,Mountainous,Jat Regiment,-2,Extreme Cold
Type D,V-126,2015-10-06,7593,64.55,16,6,Radar,Manipur,Jungle,Gorkha Rifles,21,Foggy
Type A,V-583,2022-01-21,6949,80.67,36,3,None,Uttarakhand,Mountainous,Assam Rifles,-1,Foggy
Type D,V-955,2021-10-11,2081,77.75,16,2,Radar,Manipur,Jungle,Bihar Regiment,31,Humid
Type D,V-677,2020-11-26,5039,81.19,0,1,Armor Plating,Manipur,Jungle,Rajput Regiment,26,Heavy Rain
Type B,V-600,2018-06-09,1086,84.2,2,2,None,Jammu & Kashmir,Mountainous,Punjab Regiment,-7,Snowfall
Type C,V-649,2019-09-11,4926,85.05,35,6,Brakes,Nagaland,Jungle,Jat Regiment,22,Heavy Rain
Type E,V-238,2022-02-21,6326,88.82,38,5,Gun System,Arunachal Pradesh,Jungle,Dogra Regiment,29,Humid
Type B,V-291,2017-01-02,7102,63.52,22,2,None,Uttarakhand,Mountainous,Gorkha Rifles,-8,Foggy
Type A,V-337,2020-01-31,6143,92.38,41,4,Brakes,Manipur,Jungle,Gorkha Rifles,29,Humid
Type C,V-868,2018-01-23,4168,86.79,16,5,None,Manipur,Jungle,Naga Regiment,35,Heavy Rain
Type B,V-973,2015-05-20,6409,97.9,24,3,None,Manipur,Jungle,Naga Regiment,21,Foggy
Type C,V-693,2024-09-11,7825,74.48,40,5,Engine,Sikkim,Mountainous,Kumaon Regiment,10,Foggy
Type B,V-925,2020-02-20,9025,61.75,39,1,Radar,Nagaland,Jungle,Kumaon Regiment,23,Heavy Rain
Type B,V-947,2023-05-29,507,71.46,3,1,Brakes,Rajasthan,Desert,Naga Regiment,34,Hot and Dry
Type C,V-636,2021-02-16,9654,65.39,2,2,Transmission,Manipur,Jungle,Kumaon Regiment,27,Humid
Type C,V-102,2020-12-20,6737,70.51,50,1,Wiring,Manipur,Jungle,Dogra Regiment,30,Heavy Rain
Type C,V-316,2019-09-22,9249,88.54,0,2,None,Sikkim,Mountainous,Sikh Light Infantry,-9,Snowfall
Type E,V-899,2024-04-03,306,94.91,16,5,None,Manipur,Jungle,Sikh Light Infantry,26,Heavy Rain
Type D,V-487,2024-02-06,7660,79.73,5,5,None,Punjab,Plains,Gorkha Rifles,22,Foggy
Type D,V-413,2016-04-19,9527,61.69,15,3,None,Arunachal Pradesh,Jungle,Bihar Regiment,34,Humid
Type A,V-489,2021-03-19,5580,96.62,15,6,Transmission,Nagaland,Jungle,Jat Regiment,23,Humid
Type A,V-322,2023-01-17,1270,75.33,10,6,None,Sikkim,Mountainous,Naga Regiment,0,Extreme Cold
Type C,V-807,2015-04-07,8896,74.78,40,2,Radar,Jammu & Kashmir,Mountainous,Sikh Light Infantry,10,Snowfall
Type D,V-950,2024-08-24,9894,86.45,6,3,None,Rajasthan,Desert,Dogra Regiment,42,Dust Storms
Type B,V-288,2024-10-05,7715,84.45,15,0,Engine,Arunachal Pradesh,Jungle,Sikh Light Infantry,22,Heavy Rain
Type C,V-271,2021-11-14,9859,78.2,28,5,None,Manipur,Jungle,Bihar Regiment,21,Heavy Rain
Type E,V-751,2018-04-22,8870,63.88,44,9,None,Uttarakhand,Mountainous,Kumaon Regiment,8,Foggy
Type C,V-627,2022-01-11,9841,82.73,18,5,None,Sikkim,Mountainous,Kumaon Regiment,10,Foggy
Type C,V-206,2019-03-17,9087,60.14,5,2,None,Assam,Plains,Bihar Regiment,24,Foggy
Type E,V-300,2022-07-30,3695,70.4,21,8,None,Arunachal Pradesh,Jungle,Kumaon Regiment,34,Heavy Rain
Type B,V-337,2019-12-05,8433,95.91,33,4,None,Uttarakhand,Mountainous,Jat Regiment,9,Snowfall
Type A,V-464,2015-09-08,3263,72.74,43,3,Transmission,Himachal Pradesh,Hilly,Gorkha Rifles,19,Cool Climate
Type D,V-850,2018-07-13,8035,99.42,48,3,Engine,Uttarakhand,Mountainous,Punjab Regiment,7,Snowfall
Type E,V-609,2018-03-14,4795,64.49,49,3,Engine,Rajasthan,Desert,Dogra Regiment,31,Clear Skies
Type D,V-751,2017-06-14,3433,91.46,33,6,None,Uttarakhand,Mountainous,Sikh Light Infantry,-6,Snowfall
Type B,V-348,2024-11-21,1882,62.84,45,9,Transmission,Rajasthan,Desert,Kumaon Regiment,37,Hot and Dry
Type C,V-385,2020-09-02,518,85.1,6,7,None,Uttarakhand,Mountainous,Gorkha Rifles,10,Foggy
Type E,V-843,2022-10-09,8219,91.22,5,7,Sensors,Sikkim,Mountainous,Jat Regiment,-1,Snowfall
Type B,V-541,2024-06-15,9287,67.45,7,4,Gun System,Rajasthan,Desert,Sikh Light Infantry,50,Hot and Dry
Type B,V-501,2015-08-29,697,74.6,20,4,None,Punjab,Plains,Assam Rifles,18,Clear Skies
Type D,V-539,2021-09-25,3615,88.42,43,3,None,Nagaland,Jungle,Jat Regiment,31,Heavy Rain
Type A,V-837,2018-01-31,1069,92.37,46,0,None,Arunachal Pradesh,Jungle,Kumaon Regiment,33,Foggy
Type A,V-719,2025-01-17,3979,68.08,18,6,Sensors,Assam,Plains,Assam Rifles,26,Foggy
Type D,V-743,2021-04-06,8752,63.12,44,3,None,Himachal Pradesh,Hilly,Assam Rifles,14,Rainy
Type D,V-253,2024-10-25,1566,94.19,0,10,None,Arunachal Pradesh,Jungle,Gorkha Rifles,28,Heavy Rain
Type A,V-874,2022-09-06,478,63.32,13,3,Gun System,Himachal Pradesh,Hilly,Assam Rifles,18,Rainy
Type A,V-923,2015-12-01,9046,80.47,11,3,None,Sikkim,Mountainous,Jat Regiment,5,Snowfall
Type A,V-577,2023-09-06,3098,75.06,19,6,Gun System,Nagaland,Jungle,Dogra Regiment,29,Heavy Rain
Type D,V-914,2019-01-14,7183,78.41,0,4,None,Jammu & Kashmir,Mountainous,Naga Regiment,-10,Snowfall
Type B,V-964,2020-09-08,9661,95.89,6,2,Wiring,Uttarakhand,Mountainous,Jat Regiment,-3,Extreme Cold
Type E,V-531,2016-04-01,4811,69.37,29,3,Sensors,Himachal Pradesh,Hilly,Sikh Light Infantry,18,Rainy
Type C,V-927,2016-04-24,6282,94.85,38,1,None,Nagaland,Jungle,Punjab Regiment,33,Humid
Type E,V-704,2015-03-07,2920,76.3,34,4,None,Nagaland,Jungle,Dogra Regiment,29,Humid
Type D,V-172,2016-03-09,9887,90.1,34,4,Navigation System,Assam,Plains,Kumaon Regiment,10,Clear Skies
Type E,V-994,2024-05-15,6574,97.61,7,4,None,Arunachal Pradesh,Jungle,Rajput Regiment,22,Heavy Rain
Type E,V-570,2016-10-06,2247,78.94,14,2,Engine,Jammu & Kashmir,Mountainous,Sikh Light Infantry,3,Snowfall
Type C,V-476,2018-09-27,5004,77.84,7,4,None,Assam,Plains,Naga Regiment,16,Clear Skies
Type C,V-918,2023-09-10,8382,70.97,40,6,Navigation System,Arunachal Pradesh,Jungle,Bihar Regiment,24,Foggy
Type D,V-815,2023-07-26,6577,89.74,11,3,Brakes,Arunachal Pradesh,Jungle,Assam Rifles,30,Humid
Type C,V-431,2020-02-02,6052,69.71,9,4,Wiring,Manipur,Jungle,Dogra Regiment,35,Heavy Rain
Type E,V-574,2015-11-19,8404,70.1,50,7,Radar,Nagaland,Jungle,Bihar Regiment,26,Heavy Rain
Type C,V-759,2020-10-30,6937,66.43,33,4,None,Arunachal Pradesh,Jungle,Bihar Regiment,35,Humid
Type C,V-757,2017-07-05,9445,76.23,24,5,None,Arunachal Pradesh,Jungle,Gorkha Rifles,26,Humid
Type C,V-379,2019-12-19,4923,69.41,19,6,Armor Plating,Punjab,Plains,Sikh Light Infantry,13,Clear Skies
Type C,V-852,2019-10-26,720,99.9,1,5,None,Punjab,Plains,Bihar Regiment,21,Mild Cold
Type A,V-961,2022-12-04,8603,68.52,12,4,Transmission,Sikkim,Mountainous,Gorkha Rifles,8,Extreme Cold
Type C,V-449,2016-01-05,5167,67.39,47,3,None,Rajasthan,Desert,Jat Regiment,45,Clear Skies
Type A,V-716,2024-02-19,3453,61.08,15,2,None,Punjab,Plains,Jat Regiment,21,Mild Cold
Type C,V-752,2018-02-11,9947,95.22,47,3,None,Uttarakhand,Mountainous,Sikh Light Infantry,4,Extreme Cold
Type B,V-886,2019-11-22,8684,79.46,30,5,Engine,Assam,Plains,Punjab Regiment,15,Clear Skies
Type E,V-604,2023-06-16,4514,73.14,1,3,None,Uttarakhand,Mountainous,Bihar Regiment,9,Snowfall
Type C,V-437,2023-12-13,8273,79.33,32,4,Navigation System,Assam,Plains,Punjab Regiment,14,Clear Skies
Type A,V-845,2016-07-23,1333,60.67,16,6,None,Arunachal Pradesh,Jungle,Kumaon Regiment,34,Humid
Type B,V-925,2024-10-02,5359,72.48,43,4,None,Himachal Pradesh,Hilly,Punjab Regiment,12,Rainy
Type E,V-236,2021-04-14,8983,88.55,0,3,None,Jammu & Kashmir,Mountainous,Assam Rifles,-7,Snowfall
Type A,V-247,2019-06-03,2395,64.98,19,1,Navigation System,Sikkim,Mountainous,Jat Regiment,6,Extreme Cold
Type C,V-883,2023-09-09,7506,71.96,6,1,Transmission,Punjab,Plains,Naga Regiment,22,Mild Cold
Type C,V-634,2016-10-21,7752,84.13,29,0,Engine,Himachal Pradesh,Hilly,Jat Regiment,11,Rainy
Type C,V-743,2016-05-26,9768,72.21,41,2,Navigation System,Assam,Plains,Dogra Regiment,11,Foggy
Type C,V-319,2016-03-04,3920,85.67,26,8,None,Punjab,Plains,Gorkha Rifles,14,Clear Skies
Type E,V-540,2018-09-06,8824,71.99,46,5,Gun System,Punjab,Plains,Assam Rifles,28,Mild Cold
Type E,V-484,2018-02-18,9866,85.19,34,6,None,Sikkim,Mountainous,Sikh Light Infantry,-8,Snowfall
Type A,V-879,2018-04-23,6228,63.18,41,4,Armor Plating,Punjab,Plains,Jat Regiment,20,Mild Cold
Type D,V-307,2023-04-05,2356,94.63,12,3,None,Uttarakhand,Mountainous,Gorkha Rifles,7,Extreme Cold
Type A,V-381,2024-09-28,636,67.15,28,3,None,Nagaland,Jungle,Kumaon Regiment,31,Heavy Rain
Type E,V-377,2020-06-23,7565,72.38,29,5,Transmission,Rajasthan,Desert,Jat Regiment,39,Clear Skies
Type C,V-737,2015-09-19,2392,77.43,28,4,Armor Plating,Jammu & Kashmir,Mountainous,Rajput Regiment,10,Extreme Cold
Type E,V-886,2017-12-30,7305,70.94,11,9,None,Himachal Pradesh,Hilly,Rajput Regiment,10,Cool Climate
Type E,V-208,2021-06-14,3949,77.1,41,10,None,Assam,Plains,Assam Rifles,17,Mild Cold
Type B,V-183,2023-10-07,1287,90.04,1,6,Navigation System,Arunachal Pradesh,Jungle,Bihar Regiment,27,Heavy Rain
Type E,V-128,2016-08-23,7437,86.68,33,2,None,Manipur,Jungle,Jat Regiment,25,Humid
Type D,V-367,2019-10-06,1970,74.93,30,7,Engine,Nagaland,Jungle,Bihar Regiment,29,Humid
Type A,V-896,2019-05-28,9451,65.33,40,3,Engine,Assam,Plains,Rajput Regiment,12,Foggy
Type B,V-773,2017-03-05,8621,60.55,25,6,Radar,Sikkim,Mountainous,Kumaon Regiment,2,Snowfall
Type C,V-763,2016-09-12,6615,98.03,47,6,None,Rajasthan,Desert,Punjab Regiment,41,Clear Skies
Type E,V-548,2017-10-10,7518,73.91,50,1,Radar,Jammu & Kashmir,Mountainous,Naga Regiment,-8,Foggy
Type D,V-991,2019-05-19,1479,92.37,17,7,None,Sikkim,Mountainous,Gorkha Rifles,7,Extreme Cold
Type B,V-876,2019-07-30,5546,67.48,21,9,None,Punjab,Plains,Naga Regiment,21,Foggy
Type C,V-522,2022-08-27,4930,72.4,42,6,Wiring,Manipur,Jungle,Assam Rifles,28,Humid
Type B,V-671,2022-04-22,2326,85.43,29,3,None,Jammu & Kashmir,Mountainous,Dogra Regiment,7,Snowfall
Type D,V-528,2015-11-07,3082,75.25,30,6,None,Punjab,Plains,Rajput Regiment,17,Mild Cold
Type E,V-193,2018-11-14,2537,64.57,30,4,Navigation System,Assam,Plains,Kumaon Regiment,28,Foggy
Type E,V-235,2021-03-14,3006,68.06,7,3,Brakes,Rajasthan,Desert,Naga Regiment,43,Clear Skies
Type B,V-415,2023-09-15,3921,79.64,45,2,None,Assam,Plains,Punjab Regiment,22,Clear Skies
Type E,V-356,2018-09-30,3084,86.37,9,1,Armor Plating,Punjab,Plains,Sikh Light Infantry,10,Clear Skies
Type C,V-341,2022-10-12,7302,80.56,40,5,None,Sikkim,Mountainous,Bihar Regiment,4,Snowfall
Type A,V-634,2023-07-07,3920,68.46,16,2,None,Assam,Plains,Naga Regiment,16,Mild Cold
Type E,V-209,2018-06-19,9305,91.2,0,5,None,Jammu & Kashmir,Mountainous,Sikh Light Infantry,-1,Foggy
Type D,V-498,2015-12-24,7825,82.64,7,0,Radar,Nagaland,Jungle,Naga Regiment,29,Foggy
Type C,V-331,2016-04-19,1037,60.44,32,5,Sensors,Nagaland,Jungle,Dogra Regiment,32,Heavy Rain
Type A,V-699,2023-06-28,3314,67.84,43,7,Radar,Rajasthan,Desert,Assam Rifles,45,Dust Storms
Type D,V-823,2023-05-17,9442,62.04,41,10,None,Punjab,Plains,Kumaon Regiment,18,Mild Cold
Type D,V-165,2024-08-19,6404,78.75,37,0,None,Rajasthan,Desert,Gorkha Rifles,42,Hot and Dry
Type C,V-146,2019-05-27,6779,97.09,12,7,Gun System,Uttarakhand,Mountainous,Gorkha Rifles,-5,Extreme Cold
Type B,V-466,2025-02-17,4643,74.77,33,5,Engine,Himachal Pradesh,Hilly,Punjab Regiment,8,Foggy
Type B,V-707,2024-01-29,2950,73.97,44,2,None,Jammu & Kashmir,Mountainous,Bihar Regiment,1,Snowfall
Type A,V-993,2015-12-10,7899,99.8,18,4,Armor Plating,Sikkim,Mountainous,Naga Regiment,10,Extreme Cold
Type E,V-888,2020-09-26,7421,68.77,25,0,Wiring,Manipur,Jungle,Gorkha Rifles,31,Heavy Rain
Type A,V-505,2020-04-27,7168,89.08,50,2,None,Punjab,Plains,Gorkha Rifles,27,Clear Skies
Type B,V-848,2024-11-11,4737,79.85,3,0,Armor Plating,Manipur,Jungle,Kumaon Regiment,29,Humid
Type D,V-759,2018-04-22,3786,75.08,48,0,None,Assam,Plains,Sikh Light Infantry,30,Clear Skies
Type A,V-354,2016-04-25,4664,91.22,25,4,None,Uttarakhand,Mountainous,Jat Regiment,-8,Snowfall
Type E,V-398,2021-06-05,9648,70.52,3,5,None,Himachal Pradesh,Hilly,Naga Regiment,20,Foggy
Type E,V-277,2022-04-03,5828,86.66,39,3,None,Uttarakhand,Mountainous,Punjab Regiment,-2,Foggy
Type C,V-304,2017-05-21,918,86.11,47,1,None,Manipur,Jungle,Rajput Regiment,23,Humid
Type B,V-972,2019-03-06,3603,99.67,28,5,Radar,Assam,Plains,Assam Rifles,23,Mild Cold
Type D,V-666,2023-01-17,7303,91.97,38,8,None,Nagaland,Jungle,Rajput Regiment,22,Heavy Rain
Type A,V-669,2021-01-17,7055,64.5,11,6,None,Himachal Pradesh,Hilly,Bihar Regiment,19,Foggy
Type B,V-976,2017-09-27,6960,72.44,30,0,Gun System,Manipur,Jungle,Kumaon Regiment,20,Foggy
Type E,V-323,2020-04-01,5283,78.39,32,6,None,Himachal Pradesh,Hilly,Punjab Regiment,15,Cool Climate
Type A,V-291,2017-01-16,1355,63.32,46,6,None,Manipur,Jungle,Punjab Regiment,20,Humid
Type A,V-128,2023-09-22,7450,81.07,23,0,Gun System,Nagaland,Jungle,Punjab Regiment,25,Humid
Type A,V-860,2022-05-26,8896,94.97,38,2,None,Punjab,Plains,Kumaon Regiment,15,Mild Cold
Type E,V-793,2018-08-09,3784,67.43,31,4,Engine,Sikkim,Mountainous,Naga Regiment,-8,Snowfall
Type A,V-659,2016-10-08,5301,83.52,33,4,Sensors,Sikkim,Mountainous,Assam Rifles,6,Foggy
Type B,V-639,2016-05-07,9672,66.8,31,4,None,Assam,Plains,Dogra Regiment,13,Clear Skies
Type E,V-428,2015-06-16,3872,84.46,27,8,Navigation System,Nagaland,Jungle,Dogra Regiment,32,Foggy
Type A,V-978,2018-10-27,1955,92.73,40,1,Brakes,Himachal Pradesh,Hilly,Naga Regiment,7,Cool Climate
Type B,V-527,2025-02-15,4854,71.82,0,4,Brakes,Assam,Plains,Gorkha Rifles,30,Clear Skies
Type B,V-481,2022-06-24,1172,97.87,20,5,Armor Plating,Sikkim,Mountainous,Punjab Regiment,-1,Foggy
Type A,V-993,2023-08-18,5207,66.92,9,3,None,Jammu & Kashmir,Mountainous,Punjab Regiment,-7,Extreme Cold
Type D,V-558,2020-12-13,7517,61.63,46,5,None,Sikkim,Mountainous,Sikh Light Infantry,-3,Extreme Cold
Type A,V-131,2020-12-18,4510,71.74,30,2,None,Sikkim,Mountainous,Sikh Light Infantry,-1,Foggy
Type D,V-469,2023-06-08,4137,98.29,40,6,Navigation System,Arunachal Pradesh,Jungle,Punjab Regiment,28,Heavy Rain
Type D,V-710,2021-03-27,688,83.08,8,2,Sensors,Himachal Pradesh,Hilly,Jat Regiment,20,Foggy
Type D,V-447,2020-12-04,7376,84.67,25,1,None,Rajasthan,Desert,Gorkha Rifles,42,Dust Storms
Type B,V-847,2022-06-26,4281,74.36,11,1,Engine,Sikkim,Mountainous,Assam Rifles,-9,Foggy
Type C,V-368,2015-07-03,8927,95.84,9,4,Brakes,Assam,Plains,Kumaon Regiment,28,Mild Cold
Type D,V-512,2015-09-21,8246,89.51,2,6,Gun System,Nagaland,Jungle,Kumaon Regiment,28,Humid
